8.196056253591127438e-02,-9.767679485321467681e-02,-1.493520000000000125e-01,nan,9.999999999999953371e-01,9.999999999999955591e-01,nan,2.895575055683289878e-01,nan
9.270933307362808073e-02,-1.104866807575094756e-01,-1.484129059719755950e-01,nan,9.439541342904301802e-01,9.444027805434026535e-01,nan,2.949463430666030561e-01,nan
1.033229315852511598e-01,-1.231354749140888410e-01,-1.456074335401797426e-01,nan,8.841720403770478853e-01,8.850076918283998895e-01,nan,2.939033955726508829e-01,nan
1.136678859113435525e-01,-1.354641113974324740e-01,-1.409708631482153307e-01,nan,8.211557771347380852e-01,8.223083330214759901e-01,nan,2.870608772825975485e-01,nan
1.236141022489723462e-01,-1.473175504505208067e-01,-1.345615023589621095e-01,nan,7.552804172502066704e-01,7.566737831981483753e-01,nan,2.751042424205972781e-01,nan
1.330365011567627154e-01,-1.585467281997357536e-01,-1.264599526031426890e-01,nan,6.868597362118064042e-01,6.884142879607544341e-01,nan,2.587114153279915785e-01,nan
1.418165905014460160e-01,-1.690104312195602199e-01,-1.167680955695652029e-01,nan,6.161761521410381581e-01,6.178112138610301063e-01,nan,2.385197586757010491e-01,nan
1.498439555651863708e-01,-1.785770723733379750e-01,-1.056078119837732671e-01,nan,5.434954641820981536e-01,5.451317678314390180e-01,nan,2.151123776773030960e-01,nan
1.570176475747214750e-01,-1.871263455978658397e-01,-9.311944888720556646e-02,nan,4.690745259185615801e-01,4.706365987989626354e-01,nan,1.890163109340830538e-01,nan
1.632474531907584514e-01,-1.945507388219414602e-01,-7.946005469171855962e-02,nan,3.931653948212566196e-01,3.945838158573736210e-01,nan,1.607071538667387556e-01,nan
1.684550289930581701e-01,-2.007568859930388416e-01,-6.480140420468553930e-02,nan,3.160176229441208351e-01,3.172310878474267071e-01,nan,1.306165930945236420e-01,nan
1.725748866944008530e-01,-2.056667412095909420e-01,-4.932783846112812065e-02,nan,2.378795239005611906e-01,2.388366627523216268e-01,nan,9.914081015184013357e-02,nan
1.755552166937950354e-01,-2.092185601934852257e-01,-3.323394652824347012e-02,nan,1.589988580909938998e-01,1.596597548406882561e-01,nan,6.664871247992136538e-02,nan
1.773585396122705771e-01,-2.113676767601859185e-01,-1.672211843498123615e-02,nan,7.962318141848062636e-02,7.996055269325953729e-02,nan,3.348957040219930487e-02,nan
